,EPPO_CODE,EFSA_PHT,NCBI_TAXID,preferred_name,synonym,re,ds_language,match_language
201,GYMNFU,,ncbi:190632,Gymnosporangium sabinae,kriaušinė gleivėtrūdė,,lt,
202,GYMNTR,Gymnosporangium-PHT,,Gymnosporangium tremelloides,rust of apple,rust of apple,en,
203,GYMNTR,,,Gymnosporangium tremelloides,stem gall of juniper,,en,
204,GYMNTR,,,Gymnosporangium tremelloides,Rost: Apfel,,de,
205,GYMNTR,,,Gymnosporangium tremelloides,Rost: Eberesche,,de,
206,GYMNTR,,,Gymnosporangium tremelloides,Rost: Wacholder,,de,
207,GYMNTR,,,Gymnosporangium tremelloides,rouille européenne du pommier,,fr,
208,GYMNTR,,,Gymnosporangium tremelloides,rouille grillagée du pommier,,fr,
209,GYMNTR,,,Gymnosporangium tremelloides,roya europea del manzano,,es,
210,GYMNTR,,,Gymnosporangium tremelloides,roya reticulada del manzano,,es,
211,PHELSU,,ncbi:175648,Coniferiporia sulphurascens,laminated root rot,,en,
212,INONWE,PhellinusWeirii-PHT,ncbi:135589,Coniferiporia weirii,laminated butt rot of conifers,laminated butt rot of conifers,en,
213,INONWE,PhymatotrichopsisOmnivora-PHT,ncbi:135589,Coniferiporia weirii,root rot of conifers,root rot of conifers,en,
214,INONWE,PhellinusWeirii-PHT,ncbi:135589,Coniferiporia weirii,yellow ring rot of conifers,yellow ring rot of conifers,en,
215,INONWE,PhellinusWeirii-PHT,ncbi:135589,Coniferiporia weirii,pourridié des racines des conifères,pourridi\w des racines des conif\wres,fr,
216,INONWE,PhellinusWeirii-PHT,ncbi:135589,Coniferiporia weirii,podredumbre de las raíces de las coníferas,podredumbre de las ra\wces de las con\wferas,es,
217,INONWE,,ncbi:135589,Coniferiporia weirii,"Глеофиллум заборный, заборный трутовик",,ru,
218,MELMFA,MelampsoraFarlowii-PHT,,Melampsora farlowii,rust of hemlock,rust of hemlock,en,
219,MELMFA,MelampsoraFarlowii-PHT,,Melampsora farlowii,rust of tsuga,rust of tsuga,en,
220,MELMFA,,,Melampsora farlowii,Rost: Hemlockstanne,,de,
221,MELMFA,,,Melampsora farlowii,Ржавчина тсуги,,ru,
222,MELMMT,,,Melampsora medusae f. sp. tremuloidis,nan,,,
223,MYCOLL,,,Mycodiella laricis-leptolepidis,needle cast of Japanese larch,,en,
224,MYCOLL,,,Mycodiella laricis-leptolepidis,Септориоз хвои японской лиственницы,,ru,
225,PHOMAN,StagonosporopsisAndigena-PHT,,Stagonosporopsis andigena,black blight of potato,black blight of potato,en,
226,PHOMAN,StagonosporopsisAndigena-PHT,,Stagonosporopsis andigena,leaf spot of potato,leaf spot of potato,en,
227,PHOMAN,StagonosporopsisAndigena-PHT,,Stagonosporopsis andigena,phoma leaf spot of potato,phoma leaf spot of potato,en,
228,PHOMAN,StagonosporopsisAndigena-PHT,,Stagonosporopsis andigena,фомозная пятнистость листьев картофеля,фомозная пятнистость листьев картофеля,ru,
